time,difficulty,estimated_leverage_ratio,addresses_count_active,addresses_count_sender,addresses_count_receiver,exchange_whale_ratio,coinbase_premium_gap,coinbase_premium_index,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index_usdt_adjusted,taker_buy_volume,taker_sell_volume,taker_buy_ratio,taker_sell_ratio,taker_buy_sell_ratio,blockreward,blockreward_usd,fees_transaction_mean,fees_transaction_mean_usd,fees_transaction_median,fees_transaction_median_usd,miner_supply_ratio,addresses_count_inflow,addresses_count_outflow,exchange_supply_ratio,transactions_count_inflow,transactions_count_outflow,tokens_transferred_total,tokens_transferred_mean,tokens_transferred_median,transactions_count_inflow,transactions_count_outflow,long_liquidations,short_liquidations,long_liquidations_usd,short_liquidations_usd,open_price,high_price,low_price,close_price,volume,open_interest
2020-03-25 10:00:00,16552923967337.23,0.07057705,30656,12888,21617,0.94084703,12.5,0.18947892,1.12571348,0.01709334,122718808.1547,157205129.76449,0.43840055,0.56159945,0.78062852,39.43075162,268448.33382315,0.00021908,1.48959745,0.00012656,0.85625206,0.10166375,160,96,0.08547895,118,55,57176.85515551,6.48778568,0.13559179,1360,375,425.717,8.77,2831061.23836,58055.69835,6500.0,6591.5,6500.0,6591.5,0.004,119820290.63985
2020-03-25 11:00:00,16552923967337.23,0.07196558,21379,8467,14875,0.88598086,18.64,0.28582995,2.36907637,0.03641859,90198446.44182,91569595.50117,0.4962283,0.5037717,0.98502615,26.23236081,171000.0221822,0.00021533,1.4026033,0.00012031,0.78410569,0.10166781,131,71,0.08545203,87,53,25244.65429042,4.41108759,0.11818626,886,150,385.434,21.699,2499324.31361,142518.22527,6591.5,6628.5,6457.5,6511.5,438.873,121130562.42
2020-03-25 12:00:00,16552923967337.23,0.07268583,29164,13292,19201,0.88466912,17.17,0.26059453,7.38842899,0.112303,57963331.72642,39976612.04004,0.59182525,0.40817475,1.44993107,39.34629643,258274.57383508,0.00023189,1.52175081,0.00012043,0.78961433,0.101673,137,81,0.08544305,97,65,36409.07426449,4.57285535,0.09936076,1173,252,6.06,35.155,39505.74595,230609.80208,6511.5,6588.5,6502.0,6583.5,529.318,123676455.53146
2020-03-25 13:00:00,,0.07054865,0,0,0,0.0,16.12,0.24521287,4.33987,0.06613517,127248570.50242,111609564.97859,0.53273702,0.46726298,1.14012245,0.0,0.0,,,0.0,0.0,0.101673,0,0,0.08544305,0,0,0.0,,0.0,0,0,106.667,134.954,707035.41354,898106.41361,6583.5,6745.5,6562.0,6585.0,449.162,119791667.66098
2020-03-25 14:00:00,16552923967337.23,0.07195912,25234,10221,18363,0.86733033,14.46,0.21812521,-2.76205064,-0.04177303,84545864.33273,79004855.0058,0.51693973,0.48306027,1.07013505,39.94703429,264083.36459307,0.00032614,2.15555101,0.0001695,1.1181271,0.10167296,96,51,0.08568712,74,33,83752.18968401,11.16249363,0.13443839,1213,253,124.72,52.4,815446.40031,347108.26236,6585.0,6640.0,6516.0,6590.0,258.831,122857890.39413002
2020-03-25 15:00:00,,0.07228522,0,0,0,0.0,17.22,0.26022816,5.53760685,0.0838319,54691506.50296,40384385.14293,0.57524053,0.42475947,1.3542736,0.0,0.0,,,0.0,0.0,0.10167296,0,0,0.08568712,0,0,0.0,,0.0,0,0,16.936,17.133,111890.32159,114073.21928,6590.0,6662.0,6590.0,6615.0,20.693,123123665.52441
2020-03-25 16:00:00,16552923967337.23,0.07145155,33872,12897,24823,0.84448728,11.08,0.16623557,-1.6949989,-0.02547917,58907506.91809,48396834.39198,0.54897599,0.45102401,1.21717686,40.17722367,268846.55023595,0.00029154,1.95090398,0.00017628,1.17960541,0.10167589,109,43,0.08570405,82,39,48481.04618942,5.27943441,0.11965551,1468,256,6.397,56.642,42545.73912,378048.16818,6615.0,6695.5,6601.5,6664.5,23.185,122769532.22310002
2020-03-25 17:00:00,16552923967337.23,0.07180311,53813,22365,38903,0.823097,19.91,0.29978619,6.60103288,0.09959137,39156809.34355,34413601.64768,0.53223584,0.46776416,1.13782945,66.42434163,442700.46141768,0.0002742,1.82767753,0.00016535,1.10226919,0.10166822,165,34,0.08586087,153,15,92527.55754203,6.46503337,0.0933899,2159,280,7.712,4.099,51162.86605,27349.91847,6664.5,6677.5,6635.5,6650.0,16.523,123170700.40095
2020-03-25 18:00:00,16552923967337.23,0.07303209,29880,15372,17475,0.94143823,13.91,0.20917639,-2.03218029,-0.03063287,41227875.80825,37733000.46286,0.52213042,0.47786958,1.09262119,39.76515962,263092.63505204,0.00031845,2.10695133,0.00016374,1.08404491,0.10166895,60,21,0.08578012,55,8,42308.96527712,5.94811827,0.08606032,915,138,28.99,7.697,191102.89879,51025.03934,6650.0,6652.5,6592.5,6652.5,17.288,124964114.44023
2020-03-25 19:00:00,16552923967337.23,0.07231796,12418,4675,8762,0.97604447,7.61,0.11491337,-7.19307224,-0.10886042,37355316.15534,31277986.15259,0.54427392,0.45572608,1.19430055,13.44656315,89398.94894521,0.0003029,2.01382018,0.0001808,1.20204173,0.10166977,29,1,0.08579467,28,1,15529.76101545,4.96952352,0.1058154,488,70,16.489,10.715,108936.31439,71329.95804,6652.5,6671.5,6597.5,6622.0,10.834,123325381.4184
2020-03-25 20:00:00,16552923967337.23,0.07250707,90965,44174,62609,0.88312352,6.95,0.10544074,-4.60033883,-0.06991556,33499010.52009,30232747.96179,0.52562508,0.47437492,1.10803724,131.78665142,873374.06034856,0.00023228,1.53935935,0.00014012,0.92935174,0.10167427,467,127,0.08561874,212,91,98273.98524528,3.36358919,0.06399516,3368,523,16.791,3.368,110653.63812,22315.62736,6622.0,6638.0,6573.0,6590.0,20.314,123224568.56066
2020-03-25 21:00:00,16552923967337.23,0.07345944,61931,31165,40291,0.86914555,3.58,0.05424284,-5.5413949,-0.0840772,27873063.83682,31397939.89308,0.47026475,0.52973525,0.88773544,91.62770361,604199.79522387,0.00021038,1.3871502,0.00012364,0.81642912,0.10167834,329,34,0.08569933,122,27,40732.83223798,2.07608727,0.05395086,2245,359,54.596,3.337,358288.19189,22013.03099,6590.0,6602.0,6556.0,6588.0,9.025,124649975.47485
2020-03-25 22:00:00,16552923967337.23,0.07204409,30608,15656,17742,0.97001399,14.67,0.21938909,3.31977682,0.04973136,56261584.34141,47132566.87076,0.54414668,0.45585332,1.1936881,39.66027363,264741.73847026,0.00029859,1.99350619,0.00016272,1.08696569,0.10167951,86,42,0.08571725,59,37,44188.97853555,6.10766808,0.079256,908,163,0.015,96.639,99.74399,643781.51683,6588.0,6692.5,6588.0,6681.0,12.434,123670694.61216
2020-03-25 23:00:00,16552923967337.23,0.07130837,73394,37335,45959,0.93236357,13.53,0.20262287,4.181598,0.06271054,31339227.08011,28681236.94824,0.52214237,0.47785763,1.09267348,104.25201354,696770.99456938,0.00019874,1.32837475,0.00011852,0.79323917,0.1016848,249,106,0.08570066,168,52,59415.0062627,2.77705101,0.05414498,2446,397,8.574,22.059,56965.82551,147532.70592,6681.0,6698.5,6650.0,6698.5,3.036,122388447.98626
2020-03-26 00:00:00,16552923967337.23,0.06979016,43605,21856,27297,0.96405367,19.58,0.29050445,4.078,0.06064361,60000921.18682,52706962.26937,0.5323578,0.4676422,1.13838701,65.28765334,440858.43104693,0.00021943,1.48200713,0.0001337,0.9024031,0.10168505,192,61,0.0857397,128,57,37813.01490416,2.97646528,0.0591126,1525,344,4.115,164.573,27644.86763,1109473.20633,6698.5,6767.0,6698.5,6738.5,27.19,120919662.41664
2020-03-26 01:00:00,16552923967337.23,0.07035234,23459,9083,15985,0.87715768,16.26,0.24292478,-0.473575,-0.00709291,32255716.86026,40499772.32375,0.4433441,0.5566559,0.79644193,26.31163423,176543.19029198,0.00031968,2.14494278,0.00015902,1.06884701,0.10167404,159,24,0.0857243,74,15,18389.24406805,4.48190204,0.112574,537,143,10.192,1.369,68214.96581,9194.86794,6738.5,6738.5,6675.0,6688.0,80.82,121138287.1134
2020-03-26 02:00:00,16222873977538.314,0.07172016,74466,35938,50653,0.87153978,17.74,0.26546395,0.365136,0.00547815,35646067.35719,30109996.61453,0.54209551,0.45790449,1.18386155,103.75029017,694857.32928551,0.00018252,1.22231657,0.00010199,0.68292356,0.10165755,749,213,0.08573699,282,123,57966.08942914,2.82114612,0.02439999,2383,391,5.638,1.83,37548.27934,12250.14335,6688.0,6698.0,6655.0,6694.0,3.376,123359926.34916
2020-03-26 03:00:00,13912524048945.91,0.07065108,61166,36411,31568,0.82731851,19.35,0.28770453,-0.43961982,-0.0065557,39357732.03694,31061960.61751,0.55890235,0.44109765,1.26707173,114.985996,773373.26247324,0.00013108,0.88095856,5e-05,0.33653589,0.10166181,258,256,0.0857343,195,119,43261.72928141,2.28113521,0.03217263,1970,373,0.0,20.683,0.0,138897.05447,6694.0,6742.0,6667.5,6726.5,258.723,122610685.5373
2020-03-26 04:00:00,13912524048945.91,0.07098783,52949,36090,20703,0.78802004,14.58,0.21798968,-2.140975,-0.03209035,33311880.06771,33924160.60118,0.49544678,0.50455322,0.98195149,101.49777775,682140.1380943,0.00012452,0.83798741,1.566e-05,0.10577378,0.10166575,507,8033,0.0857167,124,239,25113.84764029,2.08794876,0.01931593,1091,261,5.755,5.086,38522.35383,34330.55698,6726.5,6751.0,6678.5,6692.0,191.123,122262030.21860002
